appid,name,price,release_date,required_age,genres,achievements,positive_ratings,negative_ratings,windows,mac,linux
63960,Theatre of War 3: Korea,4.99,2011-03-24,0,Strategy,0,50,76,True,False,False
64000,Men of War: Assault Squad,7.19,2011-02-24,0,Strategy,110,2881,416,True,False,False
65070,Ride 'em Low,2.09,2013-11-04,0,Racing;Simulation,0,56,55,True,False,False
65080,Kaptain Brawe: A Brawe New World,3.99,2011-01-20,0,Adventure,0,87,30,True,True,False
65270,Demolition Company Gold Edition,7.19,2011-08-04,0,Simulation,0,144,27,True,False,False
65400,Archon Classic,6.99,2010-11-02,0,Strategy;Indie,43,87,17,True,False,False
65500,Aura: Fate of the Ages,4.49,2010-10-04,0,Adventure,0,84,63,True,False,False
65530,SpellForce 2: Faith in Destiny,13.99,2012-06-19,0,RPG;Strategy,0,125,85,True,False,False
65540,Gothic 1,0.0,2001-03-15,0,Action;RPG,0,3396,523,True,False,False
65560,Painkiller Redemption,4.49,2011-02-25,0,Action,0,206,196,True,False,False
65600,Gothic 3: Forsaken Gods Enhanced Edition,8.99,2011-03-22,0,RPG,0,247,254,True,False,False
65610,ArcaniA: Fall of Setarrif,13.99,2011-10-24,0,RPG,0,119,225,True,False,False
65710,Pat & Mat,3.99,2010-11-05,0,Casual,0,297,59,True,False,False
65730,Take On Helicopters,11.99,2011-10-27,0,Simulation,0,340,260,True,False,False
65740,Carrier Command: Gaea Mission,19.99,2012-09-28,16,Action;Strategy,45,362,442,True,False,False
65780,ARMA: Gold Edition,5.99,2011-07-13,16,Action;Simulation;Strategy,0,548,209,True,False,False
65790,ARMA: Cold War Assault,3.49,2011-08-08,16,Action;Simulation;Strategy,0,3195,942,True,False,False
65800,Dungeon Defenders,9.99,2011-10-18,0,Action;Indie;RPG;Strategy,114,10693,932,True,True,True
65930,The Bureau: XCOM Declassified,14.99,2013-08-22,16,Action,41,6661,2923,True,True,False
65980,Sid Meier's Civilization®: Beyond Earth™,29.99,2014-10-23,0,Strategy,90,9555,8224,True,True,True
75980,Some new cool game nobody cares about,69.99,2025-07-25,18,Simulation,90,1000000,2,True,True,True
